line,loc,DTT,PH,EW
MG_1088,JL,82,199.25,93.6
MG_1088,LN,69,195.9,115
MG_1089,BJ,69,265,77.5
MG_1089,HeB,58,252.25,127.38
MG_1089,HN,62,205,124.6
MG_1089,JL,85,248.2,141.4
MG_1089,LN,81,245.75,90
MG_109,BJ,65,223.5,48
MG_109,HeB,58,198.8,84.9
MG_109,HN,58,180.5,45.6
MG_109,JL,84,213.6,94.4
MG_109,LN,74,215,137.5
MG_1090,BJ,62,230.2,37.5
MG_1090,HeB,65,205,96.33
MG_1090,HN,56,203.75,79.8
MG_1090,JL,79,224.25,92.6
MG_1090,LN,67,237.14,148.75
MG_1091,BJ,65,270.8,122.5
MG_1091,HeB,58,252.6,122.2
MG_1091,HN,63,242,73.2
MG_1091,JL,83,272,125.4
MG_1091,LN,75,267.2,113
MG_1092,BJ,67,239.4,50
MG_1092,HeB,62,210.4,99.38
MG_1092,HN,58,214,95.6
MG_1092,JL,82,251.8,102.2
MG_1092,LN,76,252.75,132
MG_1093,BJ,63,228.2,85
MG_1093,HeB,58,208,139
MG_1093,HN,63,199.25,97.6
MG_1093,JL,82,240.8,135.6
MG_1093,LN,72,217.5,121
MG_1094,BJ,64,219.75,90
MG_1094,HeB,58,208,94.33
MG_1094,HN,63,208.4,64.4
MG_1094,JL,84,215.2,110.8
MG_1094,LN,74,216.4,153.75
MG_1095,BJ,67,196.6,133.33
MG_1095,HeB,58,163.6,140.3
MG_1095,HN,58,174,102.2
MG_1095,JL,84,215.5,170.4
MG_1095,LN,75,195.03,172.5
MG_1096,BJ,67,277.4,113.33
MG_1096,HeB,63,257,125
MG_1096,HN,66,245,89.6
MG_1096,JL,88,255,74
MG_1096,LN,74,288.4,165
MG_1097,BJ,61,228,88
MG_1097,HeB,57,174,99.3
MG_1097,HN,60,183.2,94.2
MG_1097,JL,79,206,146.2
MG_1097,LN,71,208.4,156
MG_1098,BJ,68,233.4,NA
MG_1098,HeB,63,217.4,42
MG_1098,HN,63,214.6,74.4
MG_1098,JL,86,238.5,51
MG_1098,LN,78,242.3,NA
MG_1099,BJ,65,203.6,76
MG_1099,HeB,58,180,90.75
MG_1099,HN,60,201.25,74.2
MG_1099,JL,81,228.6,93.2
MG_1099,LN,70,195.2,81
MG_110,BJ,57,185.4,96
MG_110,HeB,53,183,98.67
MG_110,HN,56,133.5,73.8
MG_110,JL,74,200.6,91.4
MG_110,LN,67,203.25,96.67
MG_1100,BJ,66,204.2,127.5
MG_1100,HeB,63,173.6,161.7
MG_1100,HN,62,163,120.4
MG_1100,JL,89,209.2,121.2
MG_1100,LN,79,189,88.33
MG_1101,BJ,67,232.8,30
MG_1101,HeB,64,237,94.75
MG_1101,HN,72,132,39.33
MG_1101,JL,85,230.4,NA
MG_1101,LN,78,226.2,80
MG_1102,BJ,62,262.75,23.33
MG_1102,HeB,NA,NA,NA
MG_1102,HN,NA,NA,NA
MG_1102,JL,82,260,118.2
MG_1102,LN,70,262.4,193
MG_1103,BJ,62,218.75,48
MG_1103,HeB,57,201.4,81.1
MG_1103,HN,67,164.6,69
MG_1103,JL,82,206.75,42.5
MG_1103,LN,72,201.8,113
MG_1104,BJ,59,186,90
MG_1104,HeB,57,168.25,126
MG_1104,HN,54,166.6,76
MG_1104,JL,75,178.5,123.4
MG_1104,LN,68,196.75,137
MG_1105,BJ,68,232.5,116.67
MG_1105,HeB,62,232.2,100.33
MG_1105,HN,64,217.5,86.2
MG_1105,JL,87,223,67.2
MG_1105,LN,79,228.2,112.5
MG_1106,BJ,67,180.8,97.5
MG_1106,HeB,64,143.33,79
MG_1106,HN,63,138.6,97
MG_1106,JL,83,178.75,131.6
MG_1106,LN,71,165.2,151.25
MG_1107,BJ,64,199.25,110
MG_1107,HeB,55,163.6,74.6
MG_1107,HN,60,169.2,71
MG_1107,JL,79,188,171
MG_1107,LN,72,194.05,141
MG_1108,BJ,65,242.25,NA
MG_1108,HeB,61,192.4,106.5
MG_1108,HN,68,176.67,NA
MG_1108,JL,81,191.25,NA
MG_1108,LN,71,205.25,NA
MG_1109,BJ,65,249.8,93.33
MG_1109,HeB,56,201.6,111.62
MG_1109,HN,58,197.75,74.8
MG_1109,JL,83,212.2,86
MG_1109,LN,70,241.75,117.5
MG_111,BJ,63,215.4,90
MG_111,HeB,60,204.6,91.88
MG_111,HN,57,179.75,72
MG_111,JL,81,223.25,111
MG_111,LN,70,215,92.5
MG_1110,BJ,65,229.75,65
MG_1110,HeB,61,202.2,76.6
MG_1110,HN,59,204.8,73.8
MG_1110,JL,85,200.25,50.2
MG_1110,LN,72,236.25,85
MG_1111,BJ,67,215.8,23.33
MG_1111,HeB,58,183,60.5
MG_1111,HN,70,178.5,23
MG_1111,JL,83,179.2,80.5
MG_1111,LN,75,201.2,70
MG_1112,BJ,67,224.2,40
MG_1112,HeB,62,217.4,73.33
MG_1112,HN,59,211.2,71.8
MG_1112,JL,85,258,86.6
MG_1112,LN,74,235.8,NA
MG_1113,BJ,69,228.4,100
MG_1113,HeB,62,212,72.3
MG_1113,HN,64,241.4,81.2
MG_1113,JL,91,260,69.8
MG_1113,LN,77,237.5,93
MG_1114,BJ,64,227.4,55
MG_1114,HeB,58,184.8,57.33
MG_1114,HN,61,181.8,37.8
MG_1114,JL,83,223,73
MG_1114,LN,72,202.12,142
MG_1115,BJ,68,205,34
MG_1115,HeB,58,187.6,88.8
MG_1115,HN,64,185,61
MG_1115,JL,83,222,73
MG_1115,LN,81,193.6,NA
MG_1116,BJ,63,217.6,67.5
MG_1116,HeB,56,196,69
MG_1116,HN,59,183.4,69.8
MG_1116,JL,75,224,76.8
MG_1116,LN,72,222.25,75
MG_1117,BJ,63,221,20
MG_1117,HeB,56,256.25,109.9
MG_1117,HN,60,234,66.4
MG_1117,JL,77,262,120
MG_1117,LN,72,265.2,92
MG_1118,BJ,64,238,97.5
MG_1118,HeB,62,215.8,88.62
MG_1118,HN,63,214.8,96.6
MG_1118,JL,84,230,108.8
MG_1118,LN,72,224.1,103
MG_1119,BJ,61,211.4,100
MG_1119,HeB,55,190,93.7
